,spa_title,eng_title,year
143,Siempre hay tiempo , Héctor y Bruno ,2009
144,Singularidades de una chica rubia , Eccentricities of a blond hair girl ,2009
145,loura,,2009
146,Soc un ninot  , I´m a puppet,2009
147,Spanish movie,,2009
148,Suspicious minds,,2009
149,La teta asustada , The milk of sorrow,2009
150,Tetro  The end of the loneliness,,2009
151,The unmaking of  , The unmaking of,2009
152,This is me  , This is me. On the rights of the child,2009
153,La tierra habitada , The land inhabited,2009
154,To shoot an elephant,,2009
155,Todo está en el aire , All is up in the air,2009
156,Tom Zé astronauta libertado , Tom Zé Liberated Astronaut,2009
157,Tras los pasos del bandolero , Following the steps of bandoler o,2009
158,Trash  Tres días con la familia  , Three days with the family,2009
159,Triage,,2009
160,Tritones  ," Tritons,",2009
161,Tú eliges , You choose,2009
162,La última mirada , The last look,2009
163,Un buen hombre , A good man,2009
164,Un instante preciso , A precise instant,2009
165,Un lugar lejano , A distant place,2009
166,V.O.S.  , V.O.S.,2009
167,Vengo con la lluvia , I come with the rain ,2009
168,La ventana , The window,2009
169,La vergüenza,,2009
170,El vestido y azul  , The dress,2009
171,Vivir de pie. Las guerras de Cipriano Mera , Living on your feet. The struggles of Cipriano Mena,2009
172,"Xavier Mina, sueños de libertad. Los sitios de Zaragoza "," Xavier Mina, dreams of freedom. The sieges of",2009
173,Saragossa,,2009
174,"Xtrems  Yo, también ", Me too,2009
175,La zona muerta , Zone of the dead ,2009
176,Zorion perfektua  , Perfect happiness,2009
177, 9 meses , Nine months,2010
178," 12 + 1, una comedia metafísica ", 12 + 1 A Metaphysical Comedy,2010
179, 14 Days With Victor,,2010
180, 18 comidas , 18 meals,2010
181, 80 egunean,,2010
182, A casa da luz  , The house of light,2010
183, Agnosia,,2010
184, Aita,,2010
185, Al final de la escapada ," Miguel Nuñez, Breathless",2010
186," Alma celles, urbs ilustrati",,2010
187, Amador,,2010
188, Amaren ideia , Mum's idea,2010
189, América,,2010
190, American Greyhounds,,2010
191, Amerikanuak,,2010
192, Anclados , Anchored,2010
193, Arena,,2010
194, Armenio , Armenian,2010
195, Asmita,,2010
196, Atrocious,,2010
197, Las Aventuras de Don Quijote , The Adventures of Don Quixote,2010
198, El baile de S an Juan , Saint John´s Dance,2010
199, Balada triste de trompeta , The Last Circus,2010
200," Barcelona, abans que el temps ho esborri ", Barcelona socialite,2010
201, Bestezuelas , Greyhound to the Ground,2010
202, Bicicleta Cullera Poma , Bicicleta cuchara manzana ,2010
203, Biutiful,,2010
204, Blackthorn,,2010
205, Blog,,2010
206, Blow Horn,,2010
207, La bomba del Liceo , The Bombing of the Liceu,2010
208, Bon appétit,,2010
209, Bruc,,2010
210, Brutal box,,2010
211, Bunbury 3D,,2010
212, Buried , Buried,2010
213, Campamento Flipy , Camp Flipy,2010
214, Catalunya über alles!,,2010
215, El Cavaller de L'Antifaç  , The Masked Knigt,2010
216, Chico & Rita,,2010
217, Circuit,,2010
218, Ciudad oculta , Hidden City,2010
219, Ciudadano Negrín , Citizen Negrin,2010
220, Cómplices del silencio , Complici del silenzio ,2010
221, Concierto Alejandro Sanz 3D,,2010
222, Conocerás al hombre de tus sueños , You will meet a tall dark stranger,2010
223, El corredor nocturno , Night Runner,2010
224, Cruzando el límite , Yellow,2010
225, Cuchillo de palo , 108,2010
226, Cuidadores , Carers,2010
227, La curva de la felicidad,,2010
228, La Daga de Rasputín , Rasputin’s dagger,2010
229, De mayor quiero ser soldado , I want to be a soldier,2010
230, El delfín , Th e Dolphin,2010
231, Desconectados,,2010
232, Diario de Carlota , The diary of Carlota,2010
233, Dibujos de luz , Drawings of light,2010
234, Didi Hollywood,,2010
235, El dios de madera , The Wooden God,2010
236, El Discípulo , The Disciple,2010
237, Disney a través del espejo , Disney through the l ooking g lass,2010
238, Dispongo de barcos,,2010
239, Don Mendo Rock ¿la venganza? , Don Mendo Rock. Revenge?,2010
240, Donde el olor del mar no llega , Where the smell of the sea doesn’t reach,2010
241, ¿Dónde se nacionaliza la marea? , Where does the Tide Become National?,2010
242, Dos fragmentos,Eva ,2010
243, DVA,,2010
244, E.S. O. Entidad Sobrenatural Oculta , ESO Evil School Omen,2010
245, Earth and Space Peace Moona History 1,,2010
246, Elisa K,,2010
247, Embrión , Embryo,2010
248, Entrelobos , Amongwolves,2010
249," Espejito, espejito ", Empty Beauty,2010
250, Esquivar y pegar , Dodge and hit,2010
251, ¿Estás ahí? , Are you there?,2010
252, El Extrañ o Caso de Angélica , The strange case of Angelica,2010
253, Familystrip,,2010
254, Flamenco Flamenco de Carlos Saura,,2010
255, Flores silvestres , Wild Flowers,2010
256, El Género femenino , El gènere femení ,2010
257, Globalización , Globalization,2010
258, El Gran Vázquez , The Great Vazquez,2010
259, Guest,,2010
260, Habitación en Roma , Room in Rome,2010
261, Hammada,,2010
262, Héroes , Herois ,2010
263, Holidays,,2010
264, Hombres de carbón , Men of Coal,2010
265, Horizonte , Horizon,2010
266," How much does your building weigh, Mr. Foster?",,2010
267, El idioma imposible , Impossible Lyrics,2010
268, Ingrid,,2010
269, Ingrid -my space,,2010
270, La inspiración de Van Gogh , The Inspiration of Van Gogh,2010
271, Ispansi  , Ispansi,2010
272, Izarren argia  , Stars to wish upon,2010
273, Jackboots on Whitehall,,2010
274, José y Pilar , José e Pilar,2010
275, Linko,,2010
276, La llegada de Karla , Karla’s Arrival,2010
277, Lope,,2010
278, La luna ciega , The blind moon,2010
279, Madres de la droga , Drugmothers,2010
280, El mal ajeno , For he good of other,2010
281, Mami Blue,,2010
282, María y yo , María and I,2010
283, Los Materiales , The Materials,2010
284, Memorias rotas  , Broken memories,2010
285, Menores: Infancia en riesgo , Infancy at Risk,2010
286, Mentiras piadosas , Madre up memories,2010
287, Mercado de futuros , Futures Market,2010
288, Mil cretins , Mil cretinos ,2010
289, Miss Tacuarembó,,2010
290, La mitad de Óscar , Half of Oscar,2010
291, Moon inside you , La luna en ti,2010
292, Morir de día , Dying Awake,2010
293, La Mosquitera , The Mosquito Net,2010
294, Nagore,,2010
295, Naufragio , Wreckage,2010
296, El Niño de la Moto , The Child on the Motorbike,2010
297, La nit que va a morir l'Elvis , La noche que murió Elvis,2010
298, No controles,,2010
299, Nunc et in hora ,  Just in Time,2010
300, O segredo da Frouxeira , The Secret of A Frouxeira,2010
301, Océanos , Oceans,2010
302, Los ojos de Julia , Julia’s eyes,2010
303, Ori,,2010
304, Oriundos de la noche , Natives of the Night,2010
305, Paisajes interiores , Interior Landscapes,2010
306, Pájaros de papel , Paper birds,2010
307, Pan negro , Pa negre ,2010
308," Pedra, Peixe, Rio",,2010
309, La piel azul , The blue skin,2010
310, Planes para mañana , Plans for Tomorrow,2010
311, Plegaria del vidente , The Clairvoyant’s Prayer,2010
312, Pomarón y el cine amateur , Pomarón and amateur film,2010
313, La posesión de Emma Evans , Exorcismus,2010
314, El Problema: Testimonio de Pueblo Saharaui , The Problem Testimony of the Saharawi People,2010
315, Propios y extra ños , Insiders and outsiders,2010
316, Propios y extraños Montaje del director , Insiders and outsiders,2010
317, Quatre,,2010
318, Que se mueran los feos , To hell with the ugly,2010
319, Rabia , Rage,2010
320, Retornos,,2010
321, Rosa y negro , Rose et Noir,2010
322, Rovelló: Conte de Nadal , Scruff A Christmas Tale,2010
323, Rovelló: el carnaval de la ventafocs , Scruff Cinderella's Carnival,2010
324, Rovelló: Halloween , Scruff’s Hallloween,2010
325, Rovelló: i la llegenda de Sant Jordi , Scruff and the Legend of Saint George,2010
326, Rovelló: el somni d'una nit d'estiu , Scruff in a Midsummer Night's Dream,2010
327, Las sabias de la tribu , The wise women  of the tribe,2010
328, Scouts,,2010
329, Secuestrados , Kidnapped,2010
330, Senderos del alma ," Flamenco, A Way Of Life",2010
331, Si yo tuviera una escoba , If I had a broom,2010
332, Simplemente , Simply,2010
333, Sol negro , Black Sun,2010
334, La sombra de Evita , Evita’s Shadow,2010
335, La sombra del sol , T he Shadow of the Sun,2010
336, También la lluvia , Even the rain,2010
337, Tensión sexual no resuelta , Unresolved sexual tension,2010
338, Terrados , Rooftops,2010
339, El Tesoro del Rey Midas , King Midas’s Treasure,2010
340, The Symmetry of Love,,2010
341, The Way,,2010
342, Tierra de Cierzo,Al este del Moncayo ,2010
343, El Tío Boonmee recuerda sus vidas pasadas , Uncle Boonmee who can recall his past lives,2010
344, Tip & Cia,,2010
345, Todas las canciones hablan d e mí , Every song is about me,2010
346, Todo lo que tú quieras , Anything you want,2010
347, Todos vós sodes capitáns , You Are All Captains,2010
348, Tres metros sobre el cielo , 3 meters above the sky,2010
349, La tropa de trapo en el país donde siempre bril la el sol , The Happets in the Kingdom of the Sun,2010
350, Tudancos,,2010
351, La última cima , The last peak,2010
352, El último verano de La Boyita , The last summer of La Boyita,2010
353, Los últimos días del mundo , Les derniers jours du monde,2010
354, Un cine como tú en un país como éste , Film-making like you in a country like this,2010
355, Un cuento de Navidad , A Christmas Carol,2010
356, Un tren a Pampa Blanca , A train to Pampa Blanca,2010
357, Un viaje al Mar Muerto , A journey to the Dead Sea,2010
358, Una hora más en Canarias , With or Without Love,2010
359, Uruguay,,2010
360, La venganza de Ira Vamp , Ira Vamp’s revenge,2010
361, El viaje de Penélope , Penelope´s Journey,2010
362, Viaje m ágico a África , Magic Journey to Africa,2010
363, La vida empieza hoy , Life begins today,2010
364, Vidas pequeñas,,2010
365, Las viudas de los jueves , Widows on thursdays,2010
366, Vivir para siempre , Ways to live Forever,2010
367, El vuelo del tren , The train’s flight,2010
368, Yankuba,,2010
369, Zigortzaileak  , The Punishers,2010
370,2011 ALPHABETICAL INDEX OF FEATURE FILM,,2011
371,(Total: 198 . Ficción,Fiction 120 - Documental,2011
372,Documental,Documentary +Animación,2011
373, 23 F , 17 Hours,2011
374, 30 años de oscuridad  , 30 Years Of Darkness  (Documental,2011
375,Animación,Animation),2011
376, 778 - La Chanson de Roland,,2011
377, 88,,2011
378, Las acacias,,2011
379, Aficionados , Amateurs,2011
380, Afinidades,,2011
381, Águila roja -la película ," Red Eagle, The Movie",2011
382, Al final del túnel - Bakerantza  , The light at the end of the tunnel,2011
383, Alexia,,2011
384, Amanecidos   , Dawned,2011
385, Amarillo,,2011
386, Amigos...,,2011
387, Amparito puerto y los agujeros de gusano , Amparito Puerto And The Worm,2011
388,Holes,,2011
389, Anne Perry. Expect a miracle,,2011
390, Any de Gràcia  , Año de gracia ,2011
391, Área de descanso , Rest Area,2011
392, Arriya la piedra  , Arriya  The Stone,2011
393, Arrugas  , Wrinkles,2011
394, Asolados , Isolated,2011
395, Bertsolari,,2011
396, Bi anai  ,,2011
397, Bienvenido a tu familia , Welcome to Your  Family,2011
398, Blancanieves  , Snow White,2011
399, Boleto al pa raíso , Ticket to Paradise,2011
400, ¡Brava V ictoria!,,2011
401, Bucle , Loop,2011
402," Buenas noches, España",,2011
403," Buenos Aires ""C uatropuntocinco""",,2011
404, El Capitán Trueno y el Santo G rial , Captain Thunder And The Holy Grail,2011
405, Cara de queso , Cheese Head,2011
406, La cara oculta , The Hidden Face,2011
407, Carne cruda,,2011
408, Carthago N ova,,2011
409, Las catedrales del vino  , The Spanish Wine Cathedrals,2011
410, La chispa de la vida , As Luck Would Have It,2011
411, Cinco metros cuadrados , Five Square Meters,2011
412, Cine al fin , Cinema a l a fi ,2011
413, Citizen  Bonanova,,2011
414," Clara, no es nombre de mujer ", Clara Isn't a Woman's Name,2011
415, Las C onstituyentes,,2011
416, El Cónsul de Burdeos  , The Consul Of Bo rdeaux,2011
417, Copito de N ieve , Floquet de Neu ,2011
418, El cuaderno de barro , The clay diaries,2011
419, Dansa  als esperits  ,   ,2011
420, Del poder , On power,2011
421, Después de mí  , After Me,2011
422, Los dioses de verdad tienen huesos  , True Gods Have Bones,2011
423, Doentes  ,,2011
424, Elegí a del trópico , Elegy from the T ropic,2011
425, Ella  ,,2011
426, Embargo,,2011
427, Emergo , Apartament 143,2011
428, En fuera de juego , Offsides,2011
429, El encamado , Bedridden,2011
430, Encontrarás dragones , There Be Dragons,2011
431, Energía 3D,,2011
432, Escuchando al Juez Garzón ,  Listening to Judge Garzon,2011
433, Escuela olvidada  , The Forgotten School,2011
434," Estudios M oro, el anuncio de la modernidad  "," The Moro Studios, An Advert",2011
435,Of Modernity,,2011
436, Eva,,2011
437, Evelyn,,2011
438, Extraterrestre  , Extraterrestrial,2011
439, Fiebre , Fever,2011
440, Five colors - Cinco colores,,2011
441, La fría luz del día  , The Cold Light Of Day,2011
442, Fuga de cerebros 2 , Brain Drain 2,2011
443," Gartxot, konkista  aitzineko  konkista  "," Gartxot, The Conquest Before The",2011
444,Conquest,,2011
445, Historias  de Dhallywood  , Dhallywood Stories,2011
446, Hollywood talkies,,2011
447, El hombre de las mariposas  ,,2011
448, Hora menos , Hour less,2011
449, I lobe  you,,2011
450, Ibiza   ,  Ibiza ,2011
451, Iceberg,,2011
452, Impávido,,2011
453, Intruders,,2011
454," Jacques Leonard, el p ayo Chac ","  Jacques Leonard, “Payo Jacques”, Insider",2011
455,And Outsider,,2011
456, Juan de los muertos , Juan Of The Dead,2011
457, Katarsis,,2011
458, Katharsis,,2011
459," Katmandú, un espejo en el cielo ", Kathmandu Lullaby,2011
460," Kika Superbruja, el viaje a Man dolán ", Lilli the Witch and the journey to,2011
461,Mandolan,,2011
462, Lección de pintura  , Painting Lesson s,2011
463, Life and film. The labyrinthine biographies of Vojtech Jasny , Vida y cine,2011
464, The Little Wizard. O mago  dubidoso,,2011
465, Lo contrario al amor , The Opposite of Love,2011
466, Lo más importante de la vida es no haber muerto , The most important thing,2011
467,in life is not being dead ," Le plus important dans la vie, c’est de ne pas être",2011
468,mort,,2011
469, Lo mejor de Ev a , Dark Impulse,2011
470, El Maestro saharaui , The Saharan Teacher,2011
471, Maktub,,2011
472, Malagasy  Gospel,,2011
473, La maleta mexicana , The M exican Suitcase,2011
474, Manolete , The Passion Within,2011
475, Mar de fons,,2011
476, Medianeras , Sidewalls,2011
477, Memorias de Alicia , Memories of Alic ia,2011
478, Midnight in Paris,,2011
479, Mientras duermes , Sleep Tight,2011
480, Miguel Hernández,,2011
481, El Milagro,,2011
482, La mirada invisible  , The Invisible Eye,2011
483, El misteri Fassman   , El misterio Fassman (El poder,2011
484,de la voluntad),,2011
485, El mono,,2011
486, La montaña rusa  ,,2011
487, Morente,,2011
488, Morir sin morir , Morir sense morir ,2011
489, Mr. Nice,,2011
490, Muertos de amor , Deadly Love,2011
491, Los muertos no se tocan nene  ," Don’ t touch the dead, kid",2011
492, Mugaldekoak , Operación Comè te,2011
493, Munis la voz de la memoria  ,,2011
494, Els noms de Crist  , The names of Christ,2011
495, No tengas miedo , Don’t Fear,2011
