,spa_title,eng_title,year
664,El secreto de los 24 escalones , The Secret of the 24 Steps,2012
665,La senda , Path,2012
666,Sesión 1.16,,2012
667,Sin ruido , In Silence,2012
668,"Sinaia, más allá del océano ", Sinaia Far Beyond The Ocean  (Documental ,2012
669,Documentary),,2012
670,Taro. El eco de Manrique,,2012
671,Tata Cedrón,,2012
672,Te puede pasar a ti , It Could Happen To You,2012
673,Teatro chino de Manolita Chen,,2012
674,Tengo ganas de ti , I want you,2012
675,Testigo involuntario. Nicolás Redondo,,2012
676,The Labèque Way,,2012
677,The Wish Fish,,2012
678,Todo es silencio , All is silence,2012
679,Fantasy,,2012
680,Última sesión , Last Show,2012
681,"Último capítulo, adiós Nicaragua ", Last Chapter. Goodbye (Documental ,2012
682,Documentary),,2012
683,Un viaje al edén , A Journey to Eden,2012
684,Una pistola en cada mano ,  A Gun in Each Hand,2012
685,Universo Railowsky,,2012
686,La venta del paraíso , The Sale Of Paradise,2012
687,Ventanas al interior , Windows looking inward,2012
688,Verdades verdaderas. La vida de Estela Nicolás,,2012
689,Viudas blancas,,2012
690,Volar , Flying,2012
691,Volver a nacer , Twice Born,2012
692,ya,,2012
693,Drama,,2012
694,24 cines,seg ,2012
695,Documentary),,2012
696,30 días antes,,2012
697,"31 minutos, la película "," 31 Minutes, The Movie",2012
698,2.304.400 passes,,2012
699,2013 ALPHABETICAL INDEX OF FEATURE FILM,,2013
700,(Total: 231. Ficción,Fiction 136 - Documental,2013
701,Animación,Animation 4),2013
702, 3D Flames,,2013
703, 7 cajas  , 7 boxes,2013
704, 8 Apel lidos Vascos , Spanish Affair,2013
705, 9 ondas , 9 Olas  ,2013
706, 15 años y un día , 15 Years + 1 Day,2013
707, 18 cigarrillos y medio  , 18 and a half cigarettes,2013
708, 321 días en Michigan,,2013
709, 1983 Euskadi i nundada  , 1983 Euskadi Urperatuta  ,2013
710,Flooded,,2013
711, 10.000 noches en ninguna parte  , 10.000 Nights Nowhere,2013
712, A Common Enemy,,2013
713, A night in Old Mexico , Una noche en el viejo México,2013
714, A prueba de bombas  , Bombproof,2013
715, A ras del cielo  , Grazing The Sky,2013
716, A ritmo de Jess , The Rhythm of Jess,2013
717, Abandonado?  , Abandonat? ,2013
718, After Party , Afterparty,2013
719, Agua fría de  mar,,2013
720,Fiction , Comedia ,2013
721, Al Pereira vs. The Alligator Ladi es,,2013
722, Alaba Zintzoa , La buena hija ,2013
723, Alacrán enamorado  , Scorpion in love,2013
724, Alegrías de Cádiz,,2013
725, Alpha,,2013
726, El Altar  , The Altar,2013
727, Los amantes pasajeros  , I'm so excited!,2013
728, Amaren Eskuak -  Las manos de mi madre  , My mother's hands,2013
729, El amor amargo de Chavela,,2013
730, Amor colateral , Amor Col·lateral  ,2013
731, El amor no es lo que era , Love's Not What It Used To Be,2013
732, Amoureux,,2013
733, Angels & Dust,,2013
734, Anochece en La India , Nightfall in India,2013
735, Antonio Vega. Tu voz entre otras mil,,2013
736, Els anys salvatges , Los años salvajes ,2013
737, El árbol magnético , The Magnetic Tree,2013
738, Asier Eta Biok  , Asier y yo ,2013
739, Aún hay tiempo , Still time left,2013
740, Ayer no termina nunca , Yesterday never ends,2013
741, Bajarí,,2013
742," Barcelona, nit d'estiu "," Barcelona, noche de verano ",2013
743,Night,,2013
744, Blockbuster,,2013
745, Las brujas de Zugarramurdi  , Witching & Bitching,2013
746, Cabás,,2013
747, El Callejón , Blind Alley,2013
748, La cámara Lúcida , The lucid camera,2013
749, Camaradas , Comrades,2013
750, Los caminos de Aissa , The Pathways Of Aissa,2013
751, Caníbal  , Cannibal,2013
752, La Casa Emak Bakia  , Emak Bakia baita ,2013
753," Castillo Olite, el final de una tragedia  "," Castillo Olite, The last act of a",2013
754,tragedy,,2013
755, Casting,,2013
756, Los chicos del puerto , The Kids From The Port,2013
757, Ciao Pirla!,,2013
758,Documentary,,2013
759, La cigüeña metálica , The Metal Stork,2013
760, Círculo de Raynard,,2013
761, Colgados de un sueño , Hanging from a dream,2013
762, Combustión  , Combustion,2013
763,"Comediant s, with the sun in the suitcase",,2013
764, Con la pata quebrada , Barefoot In The Kitchen,2013
765, El cosmonauta , The Cosmonaut,2013
766, El cosmonauta: Webisodios , The Cosmonaut Webisodes,2013
767, Costa da Morte , Coast of Death,2013
768, La cripta , The crypt,2013
769, Crónicas da Galiza Mártir  , Chronicles of Galicia Martyr,2013
770, Crustáceos , Crustaceans,2013
771, La cuarta compañía  , The 4th Company,2013
772," Danse la danse, N acho Duato",,2013
773, De qué va la vida  , What is life all about?,2013
774, El Día del Padre  , Father’s Day,2013
775, El día fuera del tiempo , The Day Outside Time,2013
776, Diamantes  negros , Black Diamonds,2013
777, Dime quién era Sanchicorrota  , Tell me about Sanchicorrota,2013
778, Don Juan de Borbón,,2013
779, Dos palmas!! Arnold Taraborrelli,,2013
780, Drako,,2013
781,E,,2013
782,l Niño,,2013
783,"io Berhanyer, maestro del diseño  "," Elio Berhanyer, master of design",2013
784,E,,2013
785,n apatía secuelas del odio , Apathy A Legacy Of Hatre,2013
786,E,,2013
787,n solitario , En solitaire  ,2013
788,venturas , Adventure,2013
789,E,,2013
790,nemy,,2013
791,gma de los libros plúmbeos , The enigma of the lead books,2013
792,E,,2013
793,nrockecidos,,2013
794,ntre maestros , Among teachers,2013
795,E,,2013
796,sto no es una cita , I am dating you not,2013
797,La E,,2013
798,strella , Estrella,2013
799,uropa en 8 bits , Europe in 8 bits,2013
800,Evolución tóxica , Toxic Evolution,2013
801,l extraordinario viaje de Lucius Dumb (Los Derechos Humanos tu mejor,,2013
802,instrumento),,2013
803,ily Tour,,2013
804,& Furious 6,,2013
805,"ero, el miedo de los galgos ", Febrero. The Fear Of Spani sh,2013
806,G,,2013
807,reyhounds,,2013
808,enos  , Aces,2013
809,otógrafa  , The Photographer,2013
810,ontera  , Frontier,2013
811,bolín , Foosball,2013
812,ente en sitios , People In Places,2013
813, Gloria,,2013
814, Google y el cerebro mundial , Google i el cervell mundial  ,2013
815,World Brain,,2013
816, La Gran Familia Española , Family United,2013
817, La gran oportunitat , The Great Chance,2013
818, Guadalquivir,,2013
819, La guerra contra las mujeres , War Against Women,2013
820, La herida  , Wounded,2013
821, La hermandad,,2013
822, Hijos e hij as del Alarde , Alardearen seme- alabak ,2013
823,Of The Alarde,,2013
824, Historia de mi muerte  , Història de la meva mort  ,2013
825," Histori as de La Habana, desde Barcelona  ", Stories of Havana in Barcelona,2013
826, Ignasi M.,,2013
827, Ilusión , Hope,2013
828, Los ilusos , The Wishful Thinkers,2013
829," Impensada, Usurpada, Recuperada ", Au delà des grillages ,2013
830,"Usurped, Recovered",,2013
831, Inertes  , The Motionless,2013
832, Inevitable,,2013
833, Los inocen tes: ¿Creías que era una broma? , Bloody April Fools,2013
834,Pujolar y Miguel Sánchez Terror , Slasher,2013
835, Ismael,,2013
836,Drama,,2013
837, Juego de espías,,2013
838, Justin y la Espada del Valor  , Justin and The Knights of Valour,2013
839, L'Estigma? , The Stigma?,2013
840, Laboratorio Seoane,,2013
841, Lanadacotidiana , Everydaynothingness,2013
842, Libertador  , The Liberator,2013
843, Las luces del mundo  , In The Land Of Joy,2013
844, Las Maestras de la República  , The Republican Female Teachers,2013
845, La maleta de Marta , Marta's Suitcase,2013
846," Manzanas, pollos y quimeras "," Apples, chickens and chimeras",2013
847, Marhaba,,2013
848, Marsella , M arseille,2013
849, Mary's Land -  Tierra de María,,2013
850, Máscaras  , Masks,2013
851, El médico alemán – Wakolda , Wakolda,2013
852, La m emoria de los olivos , The Memory Of Olive Trees,2013
853, Memoria de mis putas tristes  , Memories of my melancholy whores,2013
854, Memorias de un conspirador  , Memoirs of a Conspirator,2013
855, Menú Degustación  , Tasting Menu,2013
856, Mindscape,,2013
857, Mujer Conejo  , Rabbit Woman,2013
858, New York Shadows  , Sombras de Nueva York,2013
859, La niña de Maracaibo  , Wayuu: La niña de Maracaibo,2013
860," No llores, vuela ", Aloft,2013
861, O ouro do tempo  , The value of time,2013
862,Hauser  , The Fifth Gospel of Kaspar Ha user,2013
863, Omnívoros  , Omnivores,2013
864, Otel.lo , Otel·lo ,2013
865, Otro verano , Summ er again,2013
866, Para Elisa , For Elise,2013
867, Paradiso,,2013
868, Paraíso  , Paradise,2013
869, La partida , The Last Match,2013
870, Pedazos  de mí  , Pieces of Me,2013
871, Pensé que iba a haber fiesta  , I Though It Was A Party,2013
872, La perla de Jorge  , The pearl of Jorge,2013
873, Pioneros del rock,,2013
874, Piratas y Libélulas  , Pirates &  Dragonflies,2013
875, La plaga , The Plague,2013
876,La por,,2013
877,, The Fear,2013
878,or qué?!  , Why?! An Endemic Crisis,2013
879,P,,2013
880,resentimientos , Inside Love,2013
881,roject 12: The Bunker,,2013
882,ué culpa tiene el tomate? ,  From the land to your table,2013
883,S,,2013
884,zeplaki - Paola Vieira Documental , Documentary,2013
885,Q,,2013
886,uerida Gina  , Dear Gina,2013
887,Q,,2013
888,uién mató a Bambi? , Who killed Bambi?,2013
889,Q,,2013
890,uiero ser Messi  , I want to be Messi,2013
891,E,,2013
892,l rayo  , Hassan's Way,2013
893,R,,2013
894,EC 4 Apocalipsis  , REC 4 Apocalypse,2013
895,ecuerdos de hielo  , Els r ecords glaçats ,2013
896,La r,,2013
897,eina de tapas  , Queen of the bar,2013
898,Re,,2013
899,pare bem: los ojos de Bacuri  , Bacuri’s Eyes,2013
900,R,,2013
901,etornados,,2013
902,uspense,,2013
903,E,,2013
904,l Rey de Canfranc , The King Of Canfranc,2013
905,La r,,2013
906,ueda , The Wheel,2013
907,eparated,,2013
908,éptimo , 7th Floor,2013
909,erie B,,2013
910,oad,,2013
911,igo siendo… Kachkaniraqmi , I Continue Existing Dir. : Javier Corcuer a,2013
912,D,,2013
913,ocumental , Documentary  - Musical,2013
914,S,,2013
915,ilvio Rodríguez Ojalá,,2013
916,S,,2013
917,in hilos  , Sense fils ,2013
918,S,,2013
919,limane,,2013
920,edad del semáforo , The Stoplight Society,2013
921,S,,2013
922,ola contigo , Alone with Herself,2013
923,o para dos,,2013
924,l somni  dels herois , El sueño de los Héroes  ,2013
925,S,,2013
926,omos gente honrada  , Here's The Deal,2013
927,Stefan  y Erik , Stefaan y Erik,2013
928,S,,2013
929,tockholm,,2013
930,tupor Mundi,,2013
931,ueño , Sleepy,2013
932,an antiguo como el mundo , As Old As The World,2013
933,T,,2013
934,angernacion,,2013
935,l Tartessos de Schulten,,2013
936,T,,2013
937,emporal  , Temporary,2013
938,esis sobre un homicidio , Thesis on a homicide,2013
939,T,,2013
940,he Extraordinary Tale,,2013
941,T,,2013
942,he Juan Bushwick Diaries,,2013
943, Todas las mujeres  , All the Women,2013
944, Tombatossals la leyenda ," Gigantes, la leyenda de Tombatossals ",2013
945,Tombatossals The Legend,,2013
946, Tots volem el millor per a ella  , Todos queremos lo mejor para ella  ,2013
947,want wha t's best for her,,2013
948, Tres bodas de más , 3 bodas de más ,2013
949, Tres -60 , Three- 60,2013
950, Triana pura y pura , Triana Pure And Pure,2013
951, Los últimos días , The Last Days,2013
952, Un berenar a Ginebra , Una merienda en Ginebra ,2013
953, Un dios prohibido , A Forbidden God,2013
954, Un siglo y 90 minutos , A century and 90 minutes,2013
955, Una esvástica sobre el Bidasoa , The Basque swastika,2013
956," Una mujer sin sombra, Asunción Balaguer",,2013
957, Unes altres veus , Otras Voces ,2013
958, Venganza del más allá , Vengeance From The Beyond,2013
959, Verde verde , Green Green,2013
960, Viaje a Surtsey  , Journey to Surtsey,2013
961, Vicente Aranda 50 años de cine ," Vicente Aranda : ""50 Years Of Cinema""",2013
962, La vida de Adele , La vie d’Adèle ,2013
963, La vida inesperada , The Unexpected Life,2013
964, El viejo Rock , The Old Rock,2013
965, Vigilo el camino  , Walk the line,2013
966, Violet,,2013
967, Viral,,2013
968, Vivir es fácil con los ojos cerrados  , Living is easy with eyes closed,2013
969, Writing Heads: hablan los guionistas  , Writing Heads,2013
970, www.,,2013
971, Y,,2013
972, Zipi y Zape y el Club de  la Canica , Zip & Zap and the Marble Gang,2013
973,2014 ALPHABETICAL INDEX OF FEATURE FILM,,2014
974," 2 francos, 40 pesetas",,2014
975, 3 minutos  ," 3: Minutes, If You Fight There's No Defeat",2014
976, 7 Leguas. Colombia,,2014
977, 160 metros: Una historia del rock en Bizkaia , 160 Meters: A Story Of The Rock In,2014
978,Biscay,,2014
979, 1980,,2014
980," 2014, nacido en Gaza ", 2014. Born in Gaza,2014
981, 10.000 Km , Long Distance,2014
982, A escondidas,,2014
983, A Esmorga,,2014
984, Al escuchar el viento , When you listen to the wind,2014
985, Al ritmo de la calle,,2014
986, Las altas presiones , The High Pressures,2014
987, L'altra frontera , Otra frontera ,2014
988, Amarás sobre todas las cosas , Love above all things,2014
989, American Jesus  , American Jesus  (España,2014
990,Unidos,USA 25%),2014
991, Amor en su punto , The Food Guide To Love (España,2014
992,30% -Francia,France 10%),2014
993, Anacleto: agente secreto , Spy Time,2014
994," AnimA ""una vida poètica traïda per la tragèdia"" "," Soul, a Poetic Life Betrayed by Tragedy ",2014
995,Experimental,,2014
996, Ártico , Arctic,2014
997, Asesinos inocentes , Innocent Killers,2014
998, Asmodexia,,2014
999, Autómata , Automata,2014
1000, Autopsia de un amor , Autopsy of Love,2014
1001, Las aventuras de Lily Ojos de Gato , The Adventures of Cat- Eyed Lily ,2014
1002,aventures de Lily ulls de gat,,2014
1003, Azul y no tan rosa , My Straight Son,2014
1004, Back To Sahara,,2014
1005, Bajo un manto de estrellas,,2014
1006, Baratometrajes 2.0- El futuro del cine hecho en España , Cheap Films 2.0: The,2014
1007,Future of Cinema Made in Spain,,2014
1008, Basilio Martín Patino. La décima carta , Basilio Martín Patino. The Tenth Setter,2014
1009, Betibú,,2014
1010, Blue Lips,,2014
1011,Comedia , Comedy,2014
1012, Born,,2014
1013," Born Naked,",,2014
1014, Brigada político social. La cultura vigilada,,2014
1015, Bugarach,,2014
1016, Buhardilla & Blues,,2014
1017, Las calles siguen ardiendo,,2014
1018, La cara B , La Cara B: de Caníbal,2014
1019, Carmina y amén , Carmina and Amen,2014
1020,Drama,,2014
1021, Cinema en temps de guerra,,2014
1022, Ciudad Delirio,,2014
1023, Ciutat Morta,,2014
1024, El club de los incomprendidos , The Misfits Club,2014
1025, Cómo sobrevivir a una despedida , Girls' Night Out,2014
1026, Corredors de fons , Long Distance Runners,2014
1027," Cristóbal Hal ffter, libertad imaginada",,2014
1028, La cueva , In Darkness We Fall,2014
1029, Cuinant , In the Kitchen,2014
1030, El culo del mundo , The Back of Beyond,2014
1031," La Dama dels Escacs. Nascuda a Valencia, reina a tot el mon  ", Dame of Valencia.,2014
1032,Queen of Chess Around the World , Els Homes que es van inspirar en la Seva,2014
1033,Reina. La Dama Valenciana,,2014
1034, Demonstration,,2014
1035, Desmuntant Leonardo , Desmontando Leonardo ,2014
1036, Dioses y perros , Gods a nd Dogs,2014
1037, Dixie eta matxinada zonbia , Dixie y la rebelión zombi ,2014
1038,Rebellion,,2014
1039, Do We Change It?,,2014
1040, Don't Grow Up,,2014
1041," Doñana, cuatro estaciones "," Doñana, Four Seasons",2014
1042, Dos a la carta , Menu For Two  ,2014
1043, Dos amigos , Two friends,2014
1044," Echevarriatik, Exeteberriara",,2014
1045,Thriller,,2014
1046, Elcano. El barco blanco,,2014
1047," Emilio Pérez Piñero ""El sueño quebrado de un arquitecto""",,2014
1048, Empusa,,2014
1049, En el corazón del mar , In the Heart of the Sea  (España,2014
1050,Unidos,USA 71% ),2014
1051, En el umbral de la consciencia,,2014
1052, En tierra extraña , In a Foreign Land,2014
1053, La encrucijada de Ángel Sanz Briz , The crossroad of Angel Sanz Briz,2014
1054, L'Endemà,,2014
1055, Escocia , Scotland,2014
1056, Exodus: Dioses y reyes , Exodus: Gods and Kings  (España,2014
1057,Unidos,USA 55% ),2014
1058, Explica'm un conte , Tell me a story ,2014
1059, Extinction,,2014
1060, Facebackproject,,2014
1061, Faraday,,2014
1062, Felices 140 , Happy 140,2014
1063, Five Days To Dance,,2014
1064,communication),,2014
1065, Flow,,2014
1066, Fuego   , Fire,2014
1067, El futuro  , The Future,2014
1068, Gabor,,2014
1069, El gancho , The road to Uraba,2014
1070, Generación Z   , Generation Z,2014
1071,Documental , Documentary  ,2014
1072, Goazen Gudari Danok,,2014
1073, El Gobierno Vasco en el exilio,,2014
1074, El Gran Premio de La Bañeza , La Bañeza Grand Prix,2014
1075," Gurba, la condena",,2014
1076, Hacer patria,,2014
1077, Haz de tu vida una obra de arte , Make your life a masterpiece in progress,2014
1078, Hermosa juventud , Beautiful Youth ,2014
1079,Francia,France 10%),2014
1080," Héroes Invisibles, Afroamericanos en la Guerra de España ", Invisible Heroes,2014
1081,African -Americans in the Spanish Civil War  (España,Spain 58% -  Estados,2014
1082,Unidos,USA 42%),2014
1083, Herois del tebeo valencià,,2014
1084, Historias de Lavapiés,,2014
1085, El hombre que quiso ser segundo , The Man Who Would Be Second,2014
1086, L'home del metro,,2014
1087, Els homes que volien pujar una muntanya de mes de 8.000 metres , Los hombres,2014
1088,que querían subir una montaña de más de 8.000 metros ,  Men Who Wanted to,2014
1089,Climb a Mountain over 8000 Meters,,2014
1090, Hooked Up,,2014
1091, Las horas muertas , The Empty Hours,2014
1092, Hotel Nueva Isla,,2014
1093, Huidas , Escapes,2014
1094, La ignorancia de la sangre , The Ignorance Of Blood,2014
1095, El informe Segura,,2014
1096, Investigación policial , Police Investigation,2014
1097, La isla mínima , Marshland,2014
1098,Villanueva  Documental , Documentary,2014
1099, Jo crec , Yo creo ,2014
1100, El Joven Cervantes,,2014
1101," Juan Mariné, la aventura de hacer cine",,2014
1102, La jungla interior , The Inner Jungla,2014
1103, Justi&Cia,,2014
1104, Kamikaze,,2014
1105, Kaplan , Mr. Kaplan,2014
1106, Lasa eta Zabala , Lasa y Zabala ,2014
1107, Little Galicia,,2014
1108, Llámale Jess Redux,,2014
1109, Loreak , Flowers,2014
1110, La luz con el tiempo dentro,,2014
1111, Magical Girl,,2014
1112, Mai és tan fosc , Nunca es tan oscuro,2014
1113, El mal del arriero , The evil of muleteer,2014
1114, Los malos sueños de Rene Petit,,2014
1115, Mapa emocional de Tánger  , Emotional Map Of Tangier,2014
1116, Maresía,,2014
1117, Matar el tiempo , Killing Time,2014
1118, Meñique , Tom Little,2014
1119, Messi,,2014
1120, Mi otro yo , Another Me,2014
1121, Mortadelo y Filemón contra Jimmy El Cachondo , Mortadelo &  Filemon. Mission,2014
1122,Implausible,,2014
1123," La Murga, Ópera Popular "," Murga, Popular Opera  (España",2014
1124,20%),,2014
1125, Murieron por encima de sus posibilidades , Dying beyond their means,2014
1126, Musarañas , Shrew's Nest,2014
1127, Nadie quiere la noche  , Nobody Wants The Night,2014
1128, Natasha,,2014
1129, Neck an,,2014
1130, Negociador,,2014
1131, Ningú no po t somiar per tu,,2014
1132, La noche del ratón , Night of the rat,2014
1133, Noche ¿de paz? -  Holy Night,,2014
1134, Nopoki 'yo vengo',,2014
1135, Notas en movimiento,,2014
1136, Obra 67,,2014
1137, Los oj os amarillos de los cocodrilos , The yellow eyes of cocodriles ,2014
1138,jaunes des crocodiles,,2014
1139, Open Windows,,2014
1140, Operasiones especiales,,2014
1141, Las ovejas no pierden el tren , Sidetracked,2014
1142, Paco de Lucía: la búsqueda,,2014
1143, Paco Pérez  Dolz un cineasta a tiro limpio,,2014
1144, El país del miedo,,2014
1145," Pancho, el perro millonario ", Millionaire Dog,2014
1146, Pantalla herida,,2014
1147, Parts naturals. benvingut a casa , Partos naturales. Bienvenido a casa,2014
1148, Pastoral,,2014
1149, Película al estilo Jafar Panahi , Film style Jafar Panahi,2014
1150," Pep Gimeno Botifarra, El cant de les arrels "," Pep Gimeno Botifarra, el canto de las",2014
1151,raíces ," Pep Gimeno Botifarra, the Song of the Roots",2014
1152, Perdona si te llamo amor , Sorry if I call you love,2014
1153, Planeta Asperger , Planet Asperger,2014
1154, Por un puñado de besos,,2014
1155, Pos eso , Possessed,2014
1156, La presa,,2014
1157, Purgatorio , Purgatory,2014
1158, El Quinto Jinete. Una visión de la I Guerra Mundial por Vicente Blasco Ibáñez  The,,2014
1159,Fifth Horseman,,2014
1160, Rastres de Sàndal , Traces of Sandalwood ,2014
1161, Relatos Salvajes , Wild Tales,2014
1162," Remine, el último movimiento obrero",,2014
1163, Reset,,2014
1164, Retrato de Aida , Portrait of Aida,2014
1165, Rodar hasta el fin,,2014
1166, Sacromonte. Los sabios de la tribu ," Sacromonte, The Wise Of The Tribe",2014
1167, Sapos y culebras , D'amour et de de ttes,2014
1168, Schimbare  , Schimbare The Change,2014
1169," Seleme, Seleme",,2014
1170, Señales de vida. Néstor Basterretxea , Signs Of Life: Néstor Basterretxea,2014
1171,Documentary,,2014
1172,"The Baby Sitter, The Bastard Grand So n and Emma Suárez",,2014
1173, Seré asesinado , I Will Be Murdered,2014
1174, El silenci del Jonc , El silencio de Jonc ,2014
1175," Sin título, 200 X 133 ", Untitled 200x133 ,2014
1176, Sobre la marxa , The Creator Of The Jungla ,2014
1177, Solo quím ica,,2014
1178, El Somni del Celler de Can Roca,,2014
1179, Sonata para violonchelo , Sonata for cello ,2014
1180, Soneto nocturno , Night Sonnet,2014
1181, Stella cadente , Estrella fugaz ,2014
1182, Sweet Home,,2014
1183, Tánger Gool,,2014
1184, The Gunman , Caza al asesino,2014
1185, The Leftlovers,,2014
1186, The Mystery Of The King Of Kinema,,2014
1187, Thomas vive,,2014
1188, Tiempo sin aire ,  Breathless Time,2014
1189, Toastmaster  , Toastmaster  (España,2014
1190,Unidos,USA 50%),2014
1191, Tocaoras,,2014
1192, Todo el tiempo del mundo ," Time, the essence of a man",2014
1193, Todo parecía perfecto , Everything Seemed Perfect,2014
1194, Todos están muertos , They Are Al l Dead (España,2014
1195,20% - México 20%),,2014
1196, Los tontos y los estúpidos , The Silly Ones & the Stupid Ones,2014
1197, Torrente 5 ," Torrente, Mission: Eurovegas ",2014
1198," Tres instantes, un grito",,2014
1199, Tres mentiras , Three Lies,2014
1200, Las tres vidas de Pedro Burruelo , The Three Lives of Pedro Burruezo,2014
1201, La Tropa de Trapo en la selva del arco iris , The Happets In The Rainbow Forest ,2014
1202,A Tropa de Trapo na selva do Arco da Vella,,2014
1203, L’ultim partit , The Last Match,2014
1204, El último adiós de Bette Davis,,2014
1205, El último reino perdido , The Last Lost Kingdom ,2014
1206,perdido,,2014
1207, Un día vi 10.000 elefantes,,2014
1208, Un jardín en la memoria ,  Un Jardí a la Memòria,2014
1209, Un sitio donde quedarse , A place to stay,2014
1210, Una amenaza invisible , An Invisible Threat,2014
1211, La vida en sus manos , Life in Their Hands,2014
1212, Wax  , Wax,2014
1213," WildMed , el último bosque mediterráneo  "," Wildmed, The Last Mediterranean",2014
1214,Forest,,2014
1215, Wiracocha,,2014
1216, Zarpazos!  Un viaje por el Spanish Horror , CLAWING! A journey through the,2014
1217,Spanish Horror,,2014
1218,2015 INDEX OF SPANISH FEATURE FILMS,,2015
1219,Género , Type,2015
1220,● Ficción,Fiction  …………………………………..… …Página,2015
1221,● Documental,Documentary  ……………………. Página,2015
1222,● Animación,Animation ……………………………… …Página,2015
1223,Coproducci ón , Co-Production,2015
1224,● Producción íntegramente española , Totally Spanish Production,2015
1225,● Participación española mayoritaria o al 50% , Major spanish p articipation or at 50%,2015
1226,● Participación española minoritaria , Minor spanish participation (Total: 1 6. No,2015
1227,financieras,Non Financial 1 1 + Financieras,2015
1228,www.mecd.gob.es,catalogodecine,2015
1229,Publicación digital del Instituto de Cine y Artes Audiovisuales que recoge información sobre las películas,,2015
1230,"cinematográficas co n participación española en la producción, y que hayan sido calificadas por primera vez durante el",,2015
1231,año correspondiente.,,2015
1232,El contenido que se ofrece es meramente informativo y carece de efectos vinculantes para la,,2015
1233,Administración.,,2015
1234,"Digital publication of the Institute for Cinema and Audiovisual Arts , designed to promote Spanish films and mainly offering information on films with Spanish participation in production; the selection criteria are based on having been certified for the first time during the corresponding year.",,2015
1235, A cambio de nada ,  Nothing in return,2015
1236, La academia de las musas -  L’accademia delle muse –  The academy of muses,,2015
1237, Ahora  o nunca ,  It´s now or never,2015
1238, Altamira,,2015
1239, Amama  , Amama,2015
1240, Amanecer en el nuevo mundo  , Dawn in the New World,2015
1241, Anabel,,2015
1242, Análisis de sangre azul  , Analysis Of Blue Blood,2015
1243, Anomalous,,2015
1244, El Apóstata  , The Apostate,2015
1245, Arteria Invisible , L’àrtèria invisible ,2015
1246, Los Ausentes , The Absent,2015
1247, Las aventuras de Moriana  , The Adventures Of Moriana,2015
1248, B,,2015
1249, Backseat Fighter,,2015
1250," Barcelona, nit d’hivern ","  Barcelona, noche de invierno ",2015
1251, Bendita calamidad,,2015
1252," Benidorm, mon amour",,2015
1253," Bluu, Last Days Of Ibiza",,2015
1254, Bombay  Goa Express,,2015
1255, El cadáver de Anna Fritz , The Corpse Of Anna Fritz,2015
1256, La calle de la amargura ,  Bleak  Street,2015
1257, Camí més llarg per tornar a casa  , El camin o más largo para volver a casa ,2015
1258,home,,2015
1259, Capa Caída , Fallen Cape,2015
1260, Cerca de tu casa  , At your doorstep,2015
1261,10%),,2015
1262, El clan ,  The Clan,2015
1263, La corona par tida,,2015
1264," Crisis, ¿qué crisis?  "," Crisis, What Crisis?",2015
1265, Cruzando el sentido ,  Crossing the sense,2015
1266, Cuento de verano  , Summer Tale,2015
1267, Darrere la porta ,  Tras la puerta ,2015
1268, De chica en c hica , Girls  Gets Girls,2015
1269, El desconocido , Retribution,2015
1270, La final,,2015
1271,40%),,2015
1272," Gernika, The Movie",,2015
1273, Isla bonita,,2015
1274, La isla del viento  , The Island of Wind,2015
1275, Juegos de familia  , Family Games,2015
1276, L’assaig , The Rehearsal,2015
1277, Loser s,,2015
1278, La maniobra de Heimlich  , The Heimlich Maneuver,2015
1279,30%),,2015
1280, La Mina. The Night Watchman,,2015
1281, La novia , The Bride,2015
1282, Ocho apellidos catalanes , Spanish Affair 2,2015
1283, Pasaje de vida  , Safe passage,2015
1284, Perdiendo el norte ,  Off course,2015
1285, La punta del ice berg , The tip of the iceberg,2015
1286, Que dios nos perdon e , May God Save  Us,2015
1287, Requisit os para ser una persona normal  , Requirements  to be a normal pers on,2015
1288, El resto de mi vida  , The rest of my life,2015
1289, El Rey d e La Habana ,  The King Of Havana,2015
1290, Rey Gitano ,  Gipsy King,2015
1291, Rocco tiene tu nombre , Rocco has your name,2015
1292, El Señor Manolo,,2015
1293,Suspense,,2015
1294, Sin hijos , No kids,2015
1295, Síndrome de ti , Syndrome of yo u,2015
1296, Summer Camp,,2015
1297, The 2nd reign of night , El segon regne de la n it ,2015
1298, The Chosen , El elegido,2015
1299, The Lobito,,2015
1300,Suecia,Sweden 49% ),2015
1301, Vulcania,,2015
1302,DOCUMENTAL , DOCUMENTARY,2015
1303, 13. Miguel Poveda,,2015
1304, A la puta strasse. 2º acto,,2015
1305, A tu que et sembla?  , What do you think?,2015
1306, África 815,,2015
1307, Amazonas. El camino de la cocaín a , The Cocaine Path,2015
1308, Antonio el demiurgo,,2015
1309, Arrecifes. Oasis de vida  ," Reefs, An Oasis Of Life",2015
1310, Barça Dreams,,2015
1311, El Batallón Gernika , Gernika Batailoia  ,2015
1312,25%),,2015
1313, Belén,,2015
1314, Big Data - Ciutadans sota control ,  Big Data. Ciudadanos bajo control ,2015
1315,under control,,2015
1316, Black Man White Skin,,2015
1317, El botón de nácar ,  The pearl button ,2015
1318,Francia,"France 79,5%)",2015
1319, Boxing For Freedom,,2015
1320, Bregando historias  , Telling stories in struggle,2015
1321, El camino más l argo , The Longest Road,2015
1322, Cançons  d’amor i an arquia  , Songs of Love a nd Anarchy,2015
1323," Carnavaleros, el do cumental",,2015
