,spa_title,eng_title,year,Directed by,Written by,Produced by,Starring,Productioncompany,Release dates,Running time,Country,Languages,Box office,Movie,Screenplay by,Story by,Cinematography,Edited by,Music by,Productioncompanies,Distributed by,Release date,Language,Budget,Based on,Countries,Narrated by,Also known as,Genre,Created by,Voices of,Theme music composer,Country of origin,Original language,No. of series,No. of episodes,Executive producers,Producer,Editors,Camera setup,Production companies,Distributor,Original network,Picture format,Original release,Italian,Composer,Swedish,Opening theme,Ending theme,Composers,No. of seasons,Original work,Owner,Years,Film(s),Television series,Producers,Editor,Norwegian,Production locations,Production company,Hangul,Revised Romanization,McCune–Reischauer,Japanese,Hepburn,French,Preceded by,Spanish,Developed by,Animation services,Dialogue by,Book(s),Soundtrack(s),Original music,Toy(s),Original artwork by,Presented by,Audio format,Danish,Traditional,Simplified,Mandarin,Literally,Original languages,Catalan,Urdu,Adaptation by,Dutch,Portuguese,Cantonese,Bengali,Chinese,Hanja,Color process,Layouts by,Original title,Basque,Russian,Animation by,Related,es_catalog
2476,,,2011,['Phyllida Lloyd'],['Abi Morgan'],['Damian Jones'],"['Meryl Streep', 'Jim Broadbent', 'Olivia Colman', 'Roger Allam', 'Susan Brown', 'Nick Dunning', 'Nicholas Farrell', 'Iain Glen', 'Richard E. Grant', 'Anthony Head', 'Harry Lloyd', 'Michael Maloney', 'Michael Pennington', 'Alexandra Roach', 'Amanda Root', 'Pip Torrens', 'Julian Wadham', 'David Westhead', 'Angus Wright']",,"['26\xa0December\xa02011\xa0 ', '6\xa0January\xa02012\xa0 ', '15\xa0February\xa02012']",['104 minutes'],,,['$115.9\xa0M'],The Iron Lady,,,['Elliot Davis'],['Justine Wright'],['Thomas Newman'],"['UK Film Council', 'Yuk Films', 'Canal+', 'CinéCinéma', 'DJ Films', 'Film4']","['20th Century Fox ', 'Pathé']",,,['$13 M'],,"['France', 'United Kingdom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2477,,,2011,['Asghar Farhadi'],['Asghar Farhadi'],['Asghar Farhadi'],"['Leila Hatami', 'Peyman Moaadi', 'Shahab Hosseini', 'Kimiya Hosseini', 'Babak Karimi', 'Sareh Bayat', 'Sarina Farhadi', 'Merila Zarei']",,"['15\xa0February\xa02011\xa0 ', '16\xa0March\xa02011']",['123 minutes'],['Iran'],,['$24.4 M'],A Separation,,,['Mahmoud Kalari'],['Hayedeh Safiyari'],['Sattar Oraki'],,['Filmiran'],,['Persian'],"['$800,000']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2478,,,2011,['Icíar Bollaín'],['Paul Laverty'],['Juan GordonPilar BenitoEric AltmayerMonica Lozano SerranoEmma Lustres'],"['Luis Tosar', 'Gael García Bernal', 'Juan Carlos Aduviri', 'Karra Elejalde', 'Raúl Arévalo']",,"['September\xa016,\xa02010\xa0 ', 'January\xa05,\xa02011']",['104 minutes'],,"['Spanish', 'Quechua', 'English']",['$5.8 M'],Even the Rain,,,['Alex Catalán'],['Ángel Hernández Zoido'],['Alberto Iglesias'],['Morena FilmsAlebrije Cine y VideoMandarin Cinema'],['Vitagraph Films'],,,,['2000 Cochabamba protests'],['SpainMexicoFrance'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['También la lluvia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2479,,,2011,['Paco Cabezas'],,['Juan Gordon'],"['Mario Casas', 'Vicente Romero', 'Luciano Cáceres', 'Macarena Gómez', 'Dámaso Conde', 'Vanessa Oliveira', 'Darío Grandinetti', 'Blanca Suárez', 'Antonio de la Torre', 'Ángela Molina']",,"['9\xa0October\xa02010\xa0 ', '21\xa0January\xa02011\xa0 ', '21\xa0February\xa02013']",,,,,Neon Flesh,['Paco Cabezas'],,['Daniel Aranyó'],['Antonio Frutos'],['Julio de la RosaÓscar Araujo'],['Morena FilmsJaleo FilmsOberon CinematográficaMandarin FilmsHepp FilmsPensa&Rocca'],['Vértice Cine'],,['Spanish'],,['Carne de neón by Paco Cabezas'],['SpainArgentinaSwedenFrance'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carne de neón'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2480,,,2011,['Daniel Sánchez Arévalo'],['Daniel Sánchez Arévalo'],['José Antonio FélezFernando Bovaira'],['Quim GutiérrezInma CuestaRaúl ArévaloAntonio de la TorreAdrián LastraClara LagoNuria GagoAlicia RubioMarcos Ruiz'],,"['13\xa0January\xa02011\xa0 ', '4\xa0February\xa02011']",['97 minutes'],['Spain'],,['$5.5 M'],Cousinhood,,,['Juan Carlos Gómez'],['David Pinillos'],['Julio de la Rosa'],['Atípica FilmsMOD Producciones'],['Warner Bros. Spain'],,['Spanish'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Primos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2481,,,2011,['Miguel Cohan'],['Ana CohanMiguel Cohan'],['Mariela BesuievskyGerardo HerreroVannessa Ragone'],"['Leonardo Sbaraglia', 'Martín Slipak', 'Bárbara Goenaga', 'Federico Luppi', 'Luis Machín', 'Ana Celentano', 'Arturo Goetz', 'Agustín Vásquez', 'Felipe Villanueva', 'Rocío Muñoz', 'Antonia Bengoechea']",,"['30\xa0September\xa02010\xa0 ', '18\xa0February\xa02011']",,,,,No Return,,,['Hugo Colace'],['Fernando Pardo'],['Lucio Godoy'],['Haddock FilmsTornasol FilmsCastafiore Films'],['Distribution Co. Alta Classics'],,['Spanish'],,,['SpainArgentina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sin retorno'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2482,,,2011,['Chema de la Peña'],,['Ignacio Salazar-SimpsonGonzalo Salazar-Simpson'],"['Paco Tous', 'Juan Diego', 'Fernando Cayo', 'Mariano Venancio', 'Ginés G. Millán']",,,,['Spain'],,,17 Hours,['Joaquín Andújar'],,['David Azcano'],['Meco Paulogorrán'],,['Wave Films AIELazona Films'],,['23\xa0February\xa02011'],['Spanish'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['23-F: La película'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2483,,,2011,['Fernando TruebaJavier MariscalTono Errando'],,['Santi ErrandoCristina HueteMichael RoseMartin Pope'],,,"['19\xa0November\xa02010\xa0 ', '25\xa0February\xa02011']",['94 minutes'],,['SpanishEnglishFrench'],['$2.2 M'],Chico & Rita,['Fernando TruebaIgnacio Martínez de Pisón'],['Fernando TruebaIgnacio Martínez de Pisón'],,['Arnau Quiles'],['Bebo Valdés'],['Fernando Trueba PCEstudio MariscalMagic Light Pictures'],['Walt Disney StudiosMotion Pictures SpainIcon Film Distribution'],,,['€10\xa0M'],,['SpainUnited KingdomCanadaFranceIsle of ManHungaryPhilippines'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2484,,,2011,['Miguel Ángel Vivas'],['Javier GarcíaMiguel Ángel Vivas'],['Emma Lustres GómezBorja Pena'],['Fernando CayoManuela VellésAna WagenerGuillermo BarrientosDritan BibaMartijn KuiperXoel Yáñez'],,"['25\xa0September\xa02010\xa0 ', '25\xa0February\xa02011']",['85 minutes'],,,,Kidnapped,,,['Pedro J. Márquez'],['José Manuel Jiménez'],['Sergio Moure'],['Vaca FilmsBlur ProduccionesAttic FilmsLa Fabrique 2'],['Vértice Cine'],,['Spanish'],"['€100,000']",,['SpainFrance'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Secuestrados'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2485,,,2011,['Santiago Segura'],['Santiago Segura'],['Santiago Segura'],['Santiago SeguraSilvia AbrilTony LeblancYon GonzálezFranciscoEnrique VillénDavid MuroKiko RiveraDavid BisbalBelén Esteban'],,,['93 minutes'],['Spain'],,,Torrente 4: Lethal Crisis,,,,,['Roque BañosDavid Bisbal'],['Amiguetes EntertainmentAntena 3 Films'],['Warner Bros. Pictures'],['9\xa0March\xa02011'],['Spanish'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2486,,,2011,['Roland Joffé'],['Roland Joffé'],['Roland JofféIgnacio G. SanchaIgnacio NúñezGuy J. Louthan'],['Charlie CoxWes BentleyDougray ScottUnax UgaldeOlga KurylenkoGolshifteh FarahaniGeraldine ChaplinRodrigo Santoro'],,"['23\xa0March\xa02011\xa0 ', '25\xa0March\xa02011\xa0 ', '6\xa0May\xa02011']",['122 minutes'],,,['$4.4 M'],There Be Dragons,,,['Gabriel Beristain'],['Richard NordKen Blackwell'],['Stephen WarbeckRobert Folk'],,['Samuel Goldwyn Films'],,['English'],['$36 M'],,['United StatesSpainArgentina'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2487,,,2011,['Montxo Armendáriz'],,,['Lluís Homar  Belén Rueda'],,,['90 minutes'],['Spain'],,,Don't Be Afraid,,,,,,,,['29\xa0April\xa02011'],['Spanish'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['No tengas miedo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2488,,,2011,['Mateo Gil'],['Miguel Barros'],"['Ibón Cormenzana', 'Andrés Santana', 'Jan Pace', 'Paolo Agazzi']","['Sam Shepard', 'Eduardo Noriega', 'Stephen Rea', 'Magaly Solier', 'Cristian Mercado']",,"['July\xa01,\xa02011\xa0 ', 'October\xa07,\xa02011']",['98 minutes'],,"['English', 'Spanish']",,Blackthorn,,,['Juan Ruiz Anchía'],['David Gallart'],['Lucio Godoy'],"['Nix Films', 'Eter Pictures', 'Manto Films', 'Noodles Production']",['Alta Films Artificial Eye BAC Films'],,,,,"['Spain', 'Bolivia', 'United Kingdom', 'France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2489,,,2011,['Andrés Baiz'],"['Andrés Baiz', 'Arturo Infante', 'Hatem Khraiche']","['Andrés Calderón', 'Cristian Conti']","['Quim Gutiérrez', 'Clara Lago', 'Martina García']",,"['16\xa0September\xa02011\xa0 ', '20\xa0January\xa02012']",['97 minutes'],,,['$5.2 M'],The Hidden Face,,,['Josep Civit'],['Roberto Otero'],['Federico Jusid'],"['Avalon', 'Cactus Flower', 'Dynamo', 'Fox International Productions']",,,['Spanish'],['$2.6 M'],,"['Spain', 'Colombia']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La cara oculta'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2490,,,2011,['Enrique Urbizu'],"['Enrique Urbizu', 'Michel Gaztambide']","['Álvaro Augustín', 'Gonzalo Salazar-Simpson']","['José Coronado', 'Juanjo Artero', 'Helena Miquel']",,,,['Spain'],,['$5.9 M'],No Rest for the Wicked,,,['Unax Mendía'],['Pablo Blanco'],['Mario de Benito'],"['Telecinco Cinema', 'Lazona Films', 'Manto Films']",['Warner Bros. Pictures'],['23\xa0November\xa02011'],['Spanish'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2491,,,2011,['Antonio Hernández'],['Pau Vergara'],,"['Sergio Peris-Mencheta', 'Natasha Yarovenko', 'Manuel Martínez', 'Adrián Lamana', 'Jennifer Rope', 'Gary Piquer', 'Asier Etxeandia', 'Ramón Langa', 'Roberto Álvarez']",,,,['Spain'],,['€0.74 M'],El Capitán Trueno y el Santo Grial,,,,,,"['Maltés Producciones', 'Sorolla Films']",['Walt Disney España'],['7\xa0October\xa02011'],['Spanish'],['€8.39 M'],['El Capitán Trueno charactersby Víctor Mora'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2492,,,2011,['Jaume Balagueró'],['Alberto Marini'],['Julio Fernández'],['Luis TosarMarta EturaAlberto San Juan'],['Castelao Producciones'],,['102 minutes'],['Spain'],,['$8.7 M'],Sleep Tight,,,['Pablo Rosso'],['Guillermo de la Cal'],['Lucas Vidal'],,['Filmax'],['28\xa0December\xa02011'],['Spanish'],['$5 M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Mientras duermes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2493,,,2011,['Benito Zambrano'],['Ignacio del MoralBenito Zambrano'],['Antonio P. Pérez'],"['Inma Cuesta', 'María León', 'Marc Clotet', 'Daniel Holguín']",,"['September\xa02011\xa0 ', '21\xa0October\xa02011']",['128 minutes'],['Spain'],,,The Sleeping Voice,,,['Álex Catalán'],,,['Maestranza FilmsMirada Sur'],"['Warner Bros. Entertainment España, S.L.']",,['Spanish'],,['La voz dormidaby Dulce Chacón'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La voz dormida'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2494,,,2011,['Sergi Vizcaíno'],['Daniel Padró'],['Joaquín PadróMar TargaronaMercedes Gamero'],"['Alba Ribas', 'Úrsula Corberó', 'Maxi Iglesias', 'Amaia Salamanca', 'Óscar Sinela', 'Luis Fernández']",,"['December\xa09,\xa02011\xa0 ', 'December\xa028,\xa02011']",['90 minutes'],['Spain'],,['€2 M'],Paranormal Xperience 3D,,,,,,['Rodar y RodarAntena 3 Films'],['Sony Pictures'],,['Spanish'],['€3.2 M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['XP3D'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2495,,,2011,['Olivier Marchal'],,,['Gérard LanvinTchéky KaryoDaniel Duval'],,,['102 minutes'],['France'],,['$10.1 M'],A Gang Story,,,,,,,,['10\xa0November\xa02011'],['French'],['$21.5 M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2496,,,2011,['Mathieu Demy'],['Mathieu Demy'],['Mathieu DemyAgnès VardaLisa Blok-LinsonLuisa Gomez da SilvaCorina DanckwertsJohanna ColbocAngeline Massoni'],['Mathieu DemySalma HayekGeraldine ChaplinChiara MastroianniCarlos BardemJean-Pierre Mocky'],,,['90 minutes'],['France'],['FrenchEnglishSpanish'],"['$107,708']",Americano,,,['Georges Lechaptois'],['Jean-Baptiste Morin'],['Georges DelerueGrégoire Hetzel'],,['Les Films du Losange'],['8\xa0September\xa02011'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2497,,,2011,['Christophe Honoré'],['Christophe Honoré'],,"['Chiara Mastroianni', 'Catherine Deneuve', 'Ludivine Sagnier', 'Louis Garrel', 'Radivoje Bukvic', 'Paul Schneider', 'Michel Delpech']",['Why Not Productions'],"['22\xa0May\xa02011\xa0 ', '17\xa0August\xa02011']",['139 minutes'],['France'],,,Beloved,,,['Rémy Chevrin'],,['Alex Beaupain'],,['Le Pacte'],,['French'],['€ 6.8 M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2498,,,2011,['Jean-Jacques Annaud'],,['Tarak Ben Ammar'],['Tahar RahimMark StrongAntonio BanderasFreida PintoRiz AhmedCorey JohnsonLiya Kebede'],,"['25\xa0October\xa02011\xa0 ', '23\xa0November\xa02011']",['130 minutes'],,,['$5.5 M'],Black Gold,['Jean-Jacques AnnaudMenno MeyjesAlain Godard'],,['Jean-Marie Dreujou'],['Hervé Schneid'],['James Horner'],['Quinta CommunicationsPrima TVCarthago FilmsFrance 2 Cinéma'],['Warner Bros. Pictures Eagle Pictures'],,['English'],['$40 M'],['South of the Heart: A Novel of Modern Arabiaby Hans Ruesch'],['TunisiaFranceItalyQatar'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2499,,,2011,['Philippe Garrel'],['Philippe GarrelMarc ChodolenkoCaroline Deruas'],['Edouard Weil'],['Monica BellucciLouis GarrelCéline SalletteJérôme Robart'],['Rectangle Productions'],"['2\xa0September\xa02011\xa0 ', '28\xa0September\xa02011']",['95 minutes'],,,['$190.000'],A Burning Hot Summer,,,['Willy Kurant'],['Yann Dedet'],['John Cale'],,['Wild Bunch Distribution'],,['French'],['$3.1 M'],,['FranceItalySwitzerland'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2500,,,2011,['Marjane SatrapiVincent Paronnaud'],,['Hengameh Panahi'],['Mathieu AmalricEdouard BaerMaria de MedeirosGolshifteh FarahaniEric CaravacaChiara Mastroianni'],,"['3\xa0September\xa02011\xa0 ', '26\xa0October\xa02011']",['94 minutes'],,['FrenchEnglish'],['$3.3 M'],Chicken with Plums,['Marjane SatrapiVincent Paronnaud'],,['Christophe Beaucarne'],['Stéphane Roche'],,"['Celluloïd Dreams, TheManipulators']",['Le Pacte'],,,['$9.7 M'],['Chicken with Plumsby Marjane Satrapi'],['FranceGermanyBelgium'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2501,,,2011,['Xavier Durringer'],['Xavier DurringerPatrick Rotman'],['Éric and Nicolas Altmayer'],['Denis PodalydèsFlorence PernelBernard Le CoqMichèle Moretti'],['Gaumont Film Company'],,['105 minutes'],['France'],,['$6.3 M'],The Conquest,,,['Gilles Porte'],['Catherine Schwartz'],['Nicola Piovani'],,['Gaumont Film Company'],['18\xa0May\xa02011'],['French'],['$5.6 M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La conquête'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2502,,,2011,['Valérie Donzelli'],['Jérémie ElkaïmValérie Donzelli'],['Edouard Weil'],['Valérie Donzelli'],,,['100 minutes'],['France'],,['$5.9 M'],Declaration of War,,,['Sébastien Buchmann'],['Pauline Gaillard'],,,['Wild Bunch Distribution'],['12\xa0May\xa02011'],['French'],['$1.7 M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2503,,,2011,['Pasquale Squitieri'],['Pasquale Squitieri'],['Eduardo BuonocoreMassimiliano Collalti'],,,,['120 minutes'],,,,Father,,,['Giuseppe Tinelli'],['Flavio BernardFrancesca Guarino'],['Luigi Ceccarelli'],,,,['English'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2504,,,2011,['Stéphane Rybojad'],,"['Thierry Marro', 'Benoit Ponsaillé']","['Diane Kruger', 'Djimon Hounsou', 'Denis Ménochet', 'Benoît Magimel', 'Raphaël Personnaz', 'Mehdi Nebbou', 'Tchéky Karyo']",['Easy Company'],"['2\xa0November\xa02011\xa0 ', '12\xa0March\xa02012']",['110 minutes'],['France'],,['$3.4 M'],Forces spéciales,"['Michael Cooper', 'Stéphane Rybojad']",,['David Jankowski'],['Erwan Pecher'],['Xavier Berthelot'],,['StudioCanal'],,['French'],['$11.2 M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2505,,,2011,['Ismaël Ferroukhi'],,['Fabienne Vonier'],['Tahar RahimMichael LonsdaleMahmoud Shalaby'],['Pyramide Productions'],,['99 minutes'],['France'],,['USD 1.2 M worldwide'],Free Men,['Ismaël FerroukhiAlain-Michel Blanc'],,['Jérôme Alméras'],['Annette Dutertre'],['Armand Amar'],,['Pyramide Distribution'],['28\xa0October\xa02011\xa0 )'],['French'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2506,,,2011,['Mia Hansen-Løve'],,['Phillipe MartinDavid Thion'],['Lola CrétonSebastian UrzendowskyMagne-Håvard Brekke'],,,['110 minutes'],,,"['$64,925']",Goodbye First Love,['Mia Hansen-Løve'],,['Stéphane Fontaine'],['Marion Monnier'],,,['Les Films du Losange'],['6\xa0July\xa02011'],['French'],['€4 M'],,"['France', 'Germany']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2507,,,2011,['Jean-Jacques Jauffret'],['Jean-Jacques Jauffret'],['Antonin DedetNadège HassonJean-Stéphane Sauvaire'],['Adèle HaenelSylvie LachatUlysse GrosjeanYves Ruellan'],,"['19\xa0May\xa02011\xa0 ', '12\xa0October\xa02011']",['88 minutes'],['France'],,,Heat Wave,,,['Samuel Dravet'],['Lise Beaulieu'],,['Neon ProductionsExplicit Films'],['Jour2Fête'],,['French'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2508,,,2011,['Bertrand Bonello'],['Bertrand Bonello'],"['Kristina Larsen', 'Bertrand Bonello']","['Hafsia Herzi', 'Céline Sallette', 'Jasmine Trinca', 'Adèle Haenel', 'Alice Barnole', 'Iliana Zabeth', 'Noémie Lvovsky']",,"['16\xa0May\xa02011\xa0 ', '21\xa0September\xa02011']",['125 minutes'],['France'],,['$1.4 M'],House of Tolerance,,,['Josée Deshaies'],['Fabrice Rouaud'],['Bertrand Bonello'],"['Les Films du Lendemain', 'My New Picture', 'Arte France Cinéma']",['Haut et Court'],,['French'],['€3.8 M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""L'Apollonide: Souvenirs de la maison close""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2509,,,2011,['Alexandre Courtès'],['S. Craig Zahleradditional dialogue and material Jérôme Fansten'],['Wassim BéjiEmilie ChâtelDoug DavisonRoy Lee'],['Rupert EvansDave LegenoAnna Skellern'],,,['85 minutes'],,,,The Incident,,,['Laurent Tangy'],['Baxter'],['Christophe Chassol'],['Artémis ProductionsMarquis ProductionsVertigo EntertainmentWy Productions'],['SND Groupe M6'],"['September\xa012,\xa02011']",['English'],,,['United StatesFranceBelgium'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2510,,,2011,['Olivier NakacheÉric Toledano'],['Olivier NakacheÉric Toledano'],['Nicolas Duval AdassovskyYann ZenouLaurent Zeitoun'],['François CluzetOmar Sy'],,"['23\xa0September\xa02011\xa0 ', '2\xa0November\xa02011']",['112 minutes'],['France'],,['€360 M'],Intouchables,,,['Mathieu Vadepied'],['Reynald Bertrand'],['Ludovico Einaudi'],['GaumontTF1 Films ProductionQuad ProductionsChaocorpTen Films'],['Gaumont'],,['French'],['€9.5 M'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2511,,,2011,['Catherine Cadou'],['Catherine Cadou'],['Michiko Yoshitake'],,,,['52 minutes'],['France'],['FrenchEnglishJapaneseCantonesePersianKoreanPersian'],,Kurosawa's Way,,,['Alexis KavyrchineSimon BeaufilsTsuneo AzumaTempei IwakiriYoshihiro Ikeuchi'],['Cedric Defert'],,,,['2011'],,,,,['Catherine Cadou'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2512,,,2011,['Luc Besson'],['Rebecca Frayn'],['Virginie Besson-SillaAndy Harries Jean Todt'],['Michelle YeohDavid ThewlisJonathan WoodhouseJonathan Raggett'],,"['12\xa0September\xa02011\xa0 ', '30\xa0November\xa02011\xa0 ', '30\xa0December\xa02011']",['135 minutes'],,['EnglishBurmese'],['$7.8 M'],The Lady,,,['Thierry Arbogast'],['Julien Rey'],['Éric SerraSade'],['EuropaCorpLeft Bank PicturesFrance 2 Cinéma'],['Entertainment Film Distributors EuropaCorp'],,,['€22.1 M'],,['United KingdomFrance'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2513,,,2011,['Julien MauryAlexandre Bustillo'],['Alexandre BustilloJulien Maury'],['Verane FredianiFranck Ribiere'],['Catherine JacobMarie-Claude PietragallaChloe CoulloudChloe Marcq'],,"['11\xa0September\xa02011\xa0 ', '7\xa0December\xa02011']",['93 minutes'],['France'],,,Livid,,,['Laurent Bares'],['Baxter'],['Raphaël Gesqua'],"['La Fabrique 2', 'SND Films', 'La Ferme! Productions', 'Plug Effects', 'Canal+', 'CinéCinéma', 'Coficup', 'Backup Media', 'Cofimage 22']",['La Fabrique 2'],,['French'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2514,,,2011,['Pierre Schoeller'],['Pierre Schoeller'],['André Bouvard'],['Olivier GourmetMichel BlancZabou Breitman'],,"['21\xa0May\xa02011\xa0 ', '21\xa0October\xa02011\xa0 ', '2\xa0November\xa02011']",['115 minutes'],,,['$6.9 M'],The Minister,,,['Julien Hirsch'],,,,,,['French'],['$6.5 M'],,['FranceBelgium'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2515,,,2011,['Dominik Moll'],,['Michel Saint-Jean'],['Vincent CasselDéborah FrançoisJoséphine JapyCatherine Mouchet'],,,['101 minutes'],,,"['US$807,535']",The Monk,['Dominik MollAnne-Louise Trividic'],,['Patrick Blossier'],['François GédigierSylvie Lager'],['Alberto Iglesias'],,['Diaphana Films'],['13\xa0July\xa02011'],['French'],['€9.8 M'],['The Monkby Matthew Lewis'],['FranceSpain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
